,Sex,Age,Height,Weight,Season,Sport,Medal
171913,M,20.0,,,Summer,Wrestling,
171914,M,28.0,,,Summer,Wrestling,
171915,M,28.0,,,Summer,Wrestling,1.0
171916,M,32.0,,,Summer,Wrestling,
171917,M,32.0,,,Summer,Wrestling,
171918,M,25.0,,,Summer,Athletics,
171919,M,25.0,,,Summer,Athletics,
171920,M,29.0,,,Summer,Athletics,
171921,M,29.0,,,Summer,Athletics,
171922,M,25.0,,,Summer,Cycling,
171923,M,25.0,,,Summer,Boxing,2.0
171924,M,22.0,,,Summer,Athletics,
171925,M,22.0,,,Summer,Athletics,
171926,M,21.0,,,Summer,Wrestling,
171927,M,22.0,192.0,85.0,Summer,Canoeing,
171928,M,25.0,192.0,85.0,Summer,Canoeing,
171929,M,26.0,,,Summer,Wrestling,
171930,M,26.0,,,Summer,Wrestling,
171931,M,27.0,,,Summer,Rowing,
171932,M,20.0,190.0,86.0,Summer,Canoeing,
171933,M,24.0,190.0,86.0,Summer,Canoeing,
171934,M,24.0,190.0,86.0,Summer,Canoeing,2.0
171935,M,28.0,190.0,86.0,Summer,Canoeing,
171936,M,28.0,190.0,86.0,Summer,Canoeing,3.0
171937,M,36.0,190.0,86.0,Summer,Canoeing,
171938,F,27.0,,,Winter,Figure Skating,
171939,M,26.0,,,Winter,Speed Skating,
171940,M,26.0,,,Winter,Speed Skating,
171941,M,30.0,,,Winter,Speed Skating,
171942,M,30.0,,,Winter,Speed Skating,
171943,M,30.0,,,Winter,Speed Skating,
171944,M,20.0,179.0,76.0,Winter,Luge,
171945,M,20.0,179.0,76.0,Winter,Luge,
171946,M,22.0,183.0,80.0,Summer,Football,
171947,M,22.0,183.0,79.0,Summer,Football,
171948,M,21.0,,,Summer,Wrestling,
171949,M,20.0,185.0,82.0,Winter,Alpine Skiing,
171950,M,24.0,185.0,82.0,Winter,Alpine Skiing,
171951,M,24.0,185.0,82.0,Winter,Alpine Skiing,
171952,M,28.0,185.0,82.0,Winter,Alpine Skiing,
171953,M,20.0,180.0,71.0,Winter,Speed Skating,
171954,M,20.0,180.0,71.0,Winter,Speed Skating,3.0
171955,M,24.0,180.0,71.0,Winter,Speed Skating,
171956,M,24.0,180.0,71.0,Winter,Speed Skating,
171957,M,26.0,,,Summer,Wrestling,3.0
171958,M,30.0,,,Summer,Wrestling,1.0
171959,M,34.0,,,Summer,Wrestling,1.0
171960,M,29.0,,,Summer,Tug-Of-War,
171961,M,22.0,174.0,61.0,Summer,Cycling,
171962,M,18.0,190.0,82.0,Summer,Athletics,
171963,M,22.0,190.0,82.0,Summer,Athletics,
171964,M,26.0,170.0,90.0,Summer,Weightlifting,
171965,M,23.0,209.0,92.0,Summer,Volleyball,
171966,M,23.0,178.0,76.0,Winter,Ice Hockey,
171967,M,27.0,178.0,76.0,Winter,Ice Hockey,
171968,M,23.0,188.0,108.0,Summer,Weightlifting,
171969,M,27.0,188.0,108.0,Summer,Weightlifting,
171970,F,25.0,169.0,63.0,Summer,Football,
171971,M,19.0,194.0,97.0,Summer,Handball,
171972,M,23.0,,,Summer,Athletics,
171973,F,18.0,181.0,,Summer,Swimming,
171974,F,18.0,181.0,,Summer,Swimming,
171975,F,18.0,181.0,,Summer,Swimming,
171976,F,22.0,181.0,,Summer,Swimming,
171977,M,23.0,190.0,81.0,Winter,Biathlon,
171978,M,23.0,190.0,81.0,Winter,Biathlon,
171979,M,23.0,190.0,81.0,Winter,Biathlon,
171980,M,23.0,190.0,81.0,Winter,Biathlon,
171981,M,23.0,190.0,81.0,Winter,Biathlon,
171982,M,27.0,190.0,81.0,Winter,Biathlon,
171983,M,27.0,190.0,81.0,Winter,Biathlon,
171984,F,26.0,,,Winter,Alpine Skiing,
171985,F,26.0,,,Winter,Alpine Skiing,
171986,F,26.0,,,Winter,Alpine Skiing,
171987,M,19.0,181.0,76.0,Winter,Ice Hockey,
171988,M,23.0,181.0,76.0,Winter,Ice Hockey,
171989,M,27.0,181.0,76.0,Winter,Ice Hockey,2.0
171990,M,24.0,,,Summer,Equestrianism,
171991,M,23.0,,,Summer,Equestrianism,
171992,M,23.0,,,Summer,Equestrianism,1.0
171993,M,28.0,180.0,76.0,Summer,Athletics,
171994,M,28.0,180.0,76.0,Summer,Athletics,1.0
171995,M,28.0,180.0,76.0,Summer,Athletics,
171996,M,32.0,180.0,76.0,Summer,Athletics,
171997,M,32.0,180.0,76.0,Summer,Athletics,
171998,M,32.0,180.0,76.0,Summer,Athletics,
171999,M,23.0,,,Summer,Rowing,
172000,M,22.0,,,Summer,Gymnastics,3.0
172001,M,27.0,183.0,110.0,Summer,Weightlifting,
172002,M,31.0,183.0,110.0,Summer,Weightlifting,
172003,M,23.0,196.0,105.0,Summer,Athletics,
172004,M,27.0,196.0,105.0,Summer,Athletics,
172005,M,27.0,196.0,105.0,Summer,Athletics,
172006,M,35.0,174.0,64.0,Summer,Athletics,
172007,M,24.0,179.0,74.0,Summer,Football,
172008,M,27.0,173.0,71.0,Summer,Judo,
172009,M,21.0,186.0,89.0,Summer,Shooting,
172010,M,25.0,186.0,89.0,Summer,Shooting,
172011,F,20.0,174.0,68.0,Winter,Cross Country Skiing,
172012,F,20.0,174.0,68.0,Winter,Cross Country Skiing,1.0
172013,F,21.0,167.0,56.0,Summer,Swimming,
172014,F,21.0,167.0,56.0,Summer,Swimming,
172015,M,20.0,172.0,63.0,Summer,Cycling,
172016,M,20.0,172.0,63.0,Summer,Cycling,
172017,M,24.0,172.0,63.0,Summer,Cycling,
172018,M,24.0,172.0,63.0,Summer,Cycling,
172019,M,25.0,,,Summer,Wrestling,
172020,M,30.0,189.0,64.0,Summer,Athletics,
172021,M,29.0,,,Summer,Wrestling,2.0
172022,M,24.0,195.0,88.0,Summer,Sailing,
172023,M,33.0,187.0,75.0,Summer,Athletics,
172024,M,24.0,176.0,86.0,Winter,Skeleton,
172025,M,28.0,,,Summer,Hockey,3.0
172026,F,23.0,180.0,68.0,Summer,Rowing,
172027,M,22.0,186.0,94.0,Summer,Cycling,2.0
172028,M,22.0,186.0,94.0,Summer,Cycling,
172029,M,26.0,186.0,94.0,Summer,Cycling,
172030,M,26.0,186.0,94.0,Summer,Cycling,1.0
172031,M,26.0,186.0,94.0,Summer,Cycling,3.0
172032,M,30.0,186.0,94.0,Summer,Cycling,
172033,M,30.0,186.0,94.0,Summer,Cycling,1.0
172034,F,33.0,,,Summer,Art Competitions,
172035,F,22.0,165.0,59.0,Summer,Athletics,
172036,M,27.0,180.0,75.0,Summer,Football,
172037,M,26.0,185.0,84.0,Summer,Handball,
172038,F,22.0,173.0,62.0,Summer,Sailing,
172039,M,30.0,184.0,88.0,Summer,Handball,1.0
172040,M,31.0,180.0,90.0,Summer,Shooting,
172041,M,31.0,180.0,90.0,Summer,Shooting,
172042,M,35.0,180.0,90.0,Summer,Shooting,
172043,M,35.0,180.0,90.0,Summer,Shooting,
172044,F,18.0,170.0,67.0,Summer,Canoeing,
172045,F,18.0,170.0,67.0,Summer,Canoeing,
172046,F,22.0,170.0,67.0,Summer,Canoeing,
172047,F,22.0,162.0,60.0,Winter,Freestyle Skiing,
172048,M,25.0,185.0,,Summer,Fencing,
172049,M,23.0,191.0,81.0,Summer,Swimming,
172050,M,23.0,191.0,81.0,Summer,Swimming,
172051,M,23.0,191.0,81.0,Summer,Swimming,
172052,M,23.0,191.0,81.0,Summer,Swimming,
172053,M,19.0,156.0,48.0,Winter,Figure Skating,
172054,M,23.0,156.0,48.0,Winter,Figure Skating,
172055,M,17.0,184.0,76.0,Summer,Rowing,
172056,M,22.0,184.0,76.0,Summer,Rowing,
172057,M,22.0,,,Summer,Rowing,
172058,M,24.0,176.0,90.0,Winter,Luge,
172059,M,28.0,176.0,90.0,Winter,Luge,
172060,M,32.0,176.0,90.0,Winter,Luge,
172061,M,32.0,176.0,90.0,Winter,Luge,
172062,F,16.0,171.0,60.0,Summer,Swimming,
172063,M,23.0,182.0,,Summer,Cycling,
172064,M,18.0,177.0,64.0,Summer,Diving,
172065,M,18.0,177.0,64.0,Summer,Diving,
172066,M,22.0,177.0,64.0,Summer,Diving,
172067,M,22.0,177.0,64.0,Summer,Diving,
172068,M,21.0,172.0,65.0,Winter,Biathlon,
172069,M,18.0,,,Summer,Swimming,
172070,M,29.0,190.0,93.0,Summer,Judo,3.0
172071,M,43.0,168.0,64.0,Summer,Shooting,
172072,F,29.0,,,Winter,Skeleton,
172073,M,26.0,190.0,92.0,Summer,Rowing,
172074,M,24.0,197.0,82.0,Summer,Athletics,
172075,F,32.0,175.0,61.0,Summer,Athletics,
172076,F,36.0,175.0,61.0,Summer,Athletics,
172077,F,25.0,178.0,75.0,Summer,Rowing,1.0
172078,F,28.0,178.0,75.0,Summer,Rowing,
172079,M,20.0,167.0,61.0,Summer,Swimming,
172080,M,20.0,167.0,61.0,Summer,Swimming,
172081,M,20.0,167.0,61.0,Summer,Swimming,
172082,F,19.0,160.0,52.0,Winter,Biathlon,
172083,F,19.0,160.0,52.0,Winter,Biathlon,
172084,F,19.0,160.0,52.0,Winter,Biathlon,3.0
172085,F,21.0,160.0,52.0,Winter,Biathlon,
172086,F,21.0,160.0,52.0,Winter,Biathlon,
172087,F,21.0,160.0,52.0,Winter,Biathlon,1.0
172088,F,25.0,160.0,52.0,Winter,Biathlon,
172089,F,25.0,160.0,52.0,Winter,Biathlon,
172090,F,25.0,160.0,52.0,Winter,Biathlon,
172091,F,29.0,160.0,52.0,Winter,Biathlon,
172092,F,29.0,160.0,52.0,Winter,Biathlon,
172093,F,29.0,160.0,52.0,Winter,Biathlon,
172094,F,29.0,160.0,52.0,Winter,Biathlon,
172095,M,28.0,173.0,80.0,Winter,Freestyle Skiing,
172096,F,26.0,172.0,69.0,Summer,Handball,2.0
172097,M,33.0,168.0,63.0,Summer,Equestrianism,
172098,M,33.0,168.0,63.0,Summer,Equestrianism,
172099,M,,,,Summer,Rowing,2.0
172100,M,25.0,189.0,80.0,Summer,Athletics,
172101,M,29.0,189.0,80.0,Summer,Athletics,
172102,M,30.0,180.0,68.0,Summer,Shooting,2.0
172103,M,23.0,178.0,75.0,Summer,Canoeing,
172104,M,31.0,196.0,85.0,Summer,Sailing,
172105,F,15.0,170.0,66.0,Summer,Swimming,
172106,F,15.0,170.0,66.0,Summer,Swimming,
172107,F,19.0,170.0,66.0,Summer,Swimming,
172108,F,19.0,170.0,66.0,Summer,Swimming,
172109,M,23.0,194.0,96.0,Summer,Sailing,
172110,M,27.0,194.0,96.0,Summer,Sailing,
172111,M,31.0,194.0,96.0,Summer,Sailing,
172112,F,18.0,,,Summer,Diving,
172113,M,30.0,,,Winter,Bobsleigh,
172114,F,18.0,165.0,64.5,Summer,Taekwondo,
172115,M,24.0,188.0,90.0,Summer,Wrestling,
172116,M,28.0,188.0,90.0,Summer,Wrestling,
172117,M,27.0,,,Summer,Rowing,2.0
172118,M,28.0,176.0,65.0,Summer,Sailing,
172119,M,22.0,173.0,76.0,Winter,Figure Skating,
172120,M,31.0,169.0,66.0,Summer,Baseball,1.0
172121,F,24.0,160.0,65.0,Summer,Canoeing,
172122,M,24.0,164.0,68.0,Winter,Freestyle Skiing,
172123,M,28.0,164.0,68.0,Winter,Freestyle Skiing,
172124,M,25.0,170.0,72.0,Summer,Archery,
172125,M,30.0,,,Summer,Equestrianism,3.0
172126,M,34.0,,,Summer,Equestrianism,
172127,M,34.0,,,Summer,Equestrianism,
172128,M,34.0,,,Summer,Equestrianism,
172129,M,34.0,,,Summer,Equestrianism,
172130,M,24.0,,,Summer,Athletics,
172131,M,24.0,,,Summer,Athletics,
172132,F,20.0,,,Summer,Athletics,
172133,M,23.0,167.0,56.0,Summer,Athletics,
172134,M,25.0,172.0,65.0,Summer,Fencing,
172135,M,22.0,176.0,61.0,Summer,Athletics,2.0
172136,M,26.0,176.0,61.0,Summer,Athletics,2.0
172137,M,22.0,165.0,54.0,Winter,Snowboarding,
172138,M,21.0,,,Summer,Diving,
172139,M,,,,Summer,Rowing,
172140,F,15.0,171.0,64.0,Summer,Swimming,
172141,F,15.0,171.0,64.0,Summer,Swimming,
172142,F,15.0,171.0,64.0,Summer,Swimming,
172143,F,19.0,171.0,64.0,Summer,Swimming,
172144,F,19.0,171.0,64.0,Summer,Swimming,
172145,F,19.0,171.0,64.0,Summer,Swimming,
172146,F,23.0,171.0,64.0,Summer,Swimming,
172147,F,23.0,171.0,64.0,Summer,Swimming,
172148,F,23.0,171.0,64.0,Summer,Swimming,
172149,M,23.0,170.0,67.0,Summer,Wrestling,
172150,M,27.0,170.0,67.0,Summer,Wrestling,
172151,M,25.0,178.0,60.0,Winter,Ski Jumping,
172152,M,25.0,178.0,60.0,Winter,Ski Jumping,
172153,M,25.0,178.0,60.0,Winter,Ski Jumping,2.0
172154,M,18.0,163.0,58.0,Summer,Gymnastics,
172155,M,18.0,163.0,58.0,Summer,Gymnastics,1.0
172156,M,18.0,163.0,58.0,Summer,Gymnastics,
172157,M,18.0,163.0,58.0,Summer,Gymnastics,
172158,M,18.0,163.0,58.0,Summer,Gymnastics,
172159,M,18.0,163.0,58.0,Summer,Gymnastics,
172160,M,18.0,163.0,58.0,Summer,Gymnastics,
172161,M,18.0,163.0,58.0,Summer,Gymnastics,
172162,M,22.0,163.0,58.0,Summer,Gymnastics,
172163,M,22.0,163.0,58.0,Summer,Gymnastics,1.0
172164,M,22.0,163.0,58.0,Summer,Gymnastics,
172165,M,22.0,163.0,58.0,Summer,Gymnastics,
172166,M,22.0,163.0,58.0,Summer,Gymnastics,
172167,M,22.0,163.0,58.0,Summer,Gymnastics,
172168,M,22.0,163.0,58.0,Summer,Gymnastics,
172169,M,22.0,163.0,58.0,Summer,Gymnastics,
172170,F,24.0,163.0,61.0,Winter,Cross Country Skiing,
172171,F,24.0,163.0,61.0,Winter,Cross Country Skiing,
172172,F,24.0,163.0,61.0,Winter,Cross Country Skiing,
172173,M,19.0,175.0,67.0,Summer,Archery,
172174,M,19.0,175.0,67.0,Summer,Archery,
172175,M,22.0,182.0,81.0,Summer,Football,
172176,F,23.0,160.0,53.0,Summer,Hockey,
172177,M,18.0,178.0,74.0,Summer,Tennis,
172178,M,22.0,178.0,74.0,Summer,Tennis,
172179,M,22.0,178.0,74.0,Summer,Tennis,
172180,M,26.0,178.0,74.0,Summer,Tennis,1.0
172181,M,29.0,162.0,57.0,Summer,Wrestling,
172182,M,21.0,190.0,86.0,Summer,Volleyball,3.0
172183,M,25.0,190.0,86.0,Summer,Volleyball,
172184,M,24.0,180.0,100.0,Summer,Weightlifting,
172185,M,28.0,180.0,100.0,Summer,Weightlifting,
172186,F,27.0,165.0,58.0,Summer,Hockey,
172187,M,25.0,185.0,115.0,Summer,Judo,1.0
172188,M,23.0,170.0,60.0,Summer,Hockey,
172189,F,23.0,157.0,53.0,Summer,Football,
172190,M,27.0,,,Summer,Swimming,
172191,F,23.0,169.0,60.0,Summer,Fencing,
172192,F,23.0,169.0,60.0,Summer,Fencing,
172193,F,27.0,169.0,60.0,Summer,Fencing,
172194,M,24.0,182.0,80.0,Summer,Baseball,
172195,F,14.0,171.0,56.0,Summer,Swimming,
172196,F,14.0,171.0,56.0,Summer,Swimming,
172197,F,14.0,171.0,56.0,Summer,Swimming,
172198,F,14.0,171.0,56.0,Summer,Swimming,
172199,F,14.0,171.0,56.0,Summer,Swimming,
172200,M,35.0,176.0,85.0,Summer,Shooting,
172201,M,35.0,176.0,85.0,Summer,Shooting,
172202,M,19.0,173.0,64.0,Winter,Short Track Speed Skating,3.0
172203,M,23.0,173.0,64.0,Winter,Short Track Speed Skating,
172204,M,23.0,173.0,64.0,Winter,Short Track Speed Skating,
172205,M,27.0,173.0,64.0,Winter,Short Track Speed Skating,
172206,M,27.0,173.0,64.0,Winter,Short Track Speed Skating,
172207,M,24.0,170.0,60.0,Summer,Triathlon,
172208,M,28.0,170.0,60.0,Summer,Triathlon,
172209,M,21.0,183.0,80.0,Summer,Baseball,1.0
172210,M,25.0,182.0,77.0,Summer,Handball,
172211,M,29.0,182.0,77.0,Summer,Handball,
172212,M,27.0,178.0,90.0,Summer,Judo,1.0
172213,F,24.0,167.0,62.0,Summer,Softball,3.0
172214,M,19.0,,,Summer,Swimming,
172215,M,24.0,198.0,84.0,Summer,Swimming,
172216,F,23.0,165.0,63.0,Summer,Fencing,1.0
172217,F,23.0,165.0,63.0,Summer,Fencing,1.0
172218,F,15.0,164.0,50.0,Summer,Swimming,
172219,M,23.0,,,Summer,Football,
172220,M,28.0,184.0,85.0,Winter,Ice Hockey,1.0
172221,M,31.0,176.0,66.0,Summer,Athletics,
172222,M,22.0,187.0,80.0,Winter,Cross Country Skiing,
172223,M,22.0,187.0,80.0,Winter,Cross Country Skiing,
172224,M,22.0,187.0,80.0,Winter,Cross Country Skiing,
172225,M,22.0,187.0,80.0,Winter,Cross Country Skiing,
172226,M,22.0,187.0,80.0,Winter,Cross Country Skiing,3.0
172227,F,25.0,172.0,58.0,Winter,Cross Country Skiing,
172228,F,25.0,172.0,58.0,Winter,Cross Country Skiing,
172229,F,25.0,172.0,58.0,Winter,Cross Country Skiing,
172230,F,25.0,172.0,58.0,Winter,Cross Country Skiing,2.0
172231,F,25.0,172.0,58.0,Winter,Cross Country Skiing,2.0
172232,F,23.0,,,Winter,Alpine Skiing,
172233,F,23.0,,,Winter,Alpine Skiing,
172234,F,23.0,,,Winter,Alpine Skiing,
172235,F,27.0,,,Winter,Alpine Skiing,
172236,F,27.0,,,Winter,Alpine Skiing,
172237,F,27.0,,,Winter,Alpine Skiing,
172238,F,31.0,,,Winter,Alpine Skiing,
172239,F,31.0,,,Winter,Alpine Skiing,
172240,F,31.0,,,Winter,Alpine Skiing,
172241,M,21.0,,,Summer,Swimming,
172242,M,25.0,,,Summer,Football,3.0
172243,M,19.0,182.0,83.0,Summer,Canoeing,
172244,M,23.0,182.0,83.0,Summer,Canoeing,3.0
172245,M,23.0,182.0,83.0,Summer,Canoeing,2.0
172246,M,27.0,182.0,83.0,Summer,Canoeing,
172247,M,21.0,,,Summer,Weightlifting,
172248,F,27.0,,,Summer,Athletics,
172249,M,26.0,177.0,77.0,Winter,Freestyle Skiing,
172250,M,30.0,177.0,77.0,Winter,Freestyle Skiing,
172251,F,15.0,169.0,53.0,Summer,Swimming,
172252,F,15.0,169.0,53.0,Summer,Swimming,
172253,F,15.0,169.0,53.0,Summer,Swimming,
172254,M,24.0,185.0,70.0,Summer,Sailing,
172255,M,21.0,170.0,63.5,Summer,Gymnastics,
172256,M,21.0,170.0,63.5,Summer,Gymnastics,
172257,M,21.0,170.0,63.5,Summer,Gymnastics,
172258,M,21.0,170.0,63.5,Summer,Gymnastics,
172259,M,21.0,170.0,63.5,Summer,Gymnastics,
172260,M,21.0,170.0,63.5,Summer,Gymnastics,
172261,M,21.0,170.0,63.5,Summer,Gymnastics,
172262,M,21.0,170.0,63.5,Summer,Gymnastics,
172263,M,25.0,170.0,63.5,Summer,Gymnastics,
172264,M,25.0,170.0,63.5,Summer,Gymnastics,
172265,M,25.0,170.0,63.5,Summer,Gymnastics,
172266,M,25.0,170.0,63.5,Summer,Gymnastics,
172267,M,25.0,170.0,63.5,Summer,Gymnastics,
172268,M,25.0,170.0,63.5,Summer,Gymnastics,
172269,M,25.0,170.0,63.5,Summer,Gymnastics,
172270,F,24.0,,,Winter,Alpine Skiing,
172271,M,23.0,169.0,68.0,Summer,Cycling,
172272,M,25.0,180.0,77.0,Winter,Ice Hockey,
172273,M,25.0,180.0,105.0,Summer,Boxing,
172274,F,18.0,149.0,43.0,Summer,Gymnastics,
172275,F,18.0,149.0,43.0,Summer,Gymnastics,1.0
172276,F,18.0,149.0,43.0,Summer,Gymnastics,
172277,F,18.0,149.0,43.0,Summer,Gymnastics,
172278,F,18.0,149.0,43.0,Summer,Gymnastics,
172279,M,25.0,170.0,60.0,Summer,Boxing,
172280,M,16.0,181.0,72.0,Summer,Swimming,
172281,F,21.0,,,Summer,Gymnastics,
172282,F,21.0,,,Summer,Gymnastics,
172283,F,21.0,,,Summer,Gymnastics,
172284,F,21.0,,,Summer,Gymnastics,
172285,F,21.0,,,Summer,Gymnastics,
172286,F,21.0,,,Summer,Gymnastics,
172287,F,21.0,,,Summer,Gymnastics,
172288,M,21.0,173.0,65.0,Summer,Boxing,
172289,M,25.0,,,Winter,Bobsleigh,
172290,M,21.0,193.0,89.0,Summer,Rowing,
172291,F,14.0,172.0,62.0,Summer,Swimming,
172292,F,14.0,172.0,62.0,Summer,Swimming,
172293,F,14.0,172.0,62.0,Summer,Swimming,3.0
172294,M,25.0,184.0,74.0,Summer,Wrestling,
172295,M,24.0,159.0,60.0,Summer,Weightlifting,
172296,F,15.0,155.0,52.0,Summer,Swimming,
172297,M,26.0,173.0,77.0,Summer,Cycling,
172298,M,,,,Summer,Weightlifting,
172299,M,21.0,,,Winter,Speed Skating,
172300,M,21.0,,,Winter,Speed Skating,
172301,M,21.0,,,Winter,Speed Skating,
172302,M,28.0,171.0,79.0,Summer,Shooting,
172303,M,22.0,,74.0,Summer,Weightlifting,
172304,M,19.0,180.0,75.0,Summer,Cycling,
172305,M,19.0,180.0,75.0,Summer,Cycling,
172306,M,27.0,180.0,75.0,Summer,Cycling,1.0
172307,M,27.0,180.0,75.0,Summer,Cycling,2.0
172308,M,31.0,180.0,75.0,Summer,Cycling,
172309,M,22.0,,,Summer,Swimming,
172310,M,26.0,,,Summer,Cycling,
172311,M,23.0,,,Summer,Boxing,
172312,F,24.0,177.0,68.0,Summer,Water Polo,
172313,F,23.0,164.0,51.0,Summer,Table Tennis,
172314,F,23.0,164.0,51.0,Summer,Table Tennis,1.0
172315,M,26.0,171.0,80.0,Summer,Shooting,1.0
172316,M,31.0,183.0,89.0,Summer,Rugby Sevens,
172317,M,32.0,,,Summer,Art Competitions,
172318,M,32.0,,,Summer,Art Competitions,
172319,M,,,,Summer,Shooting,
172320,M,33.0,,,Summer,Shooting,
172321,F,24.0,163.0,51.0,Winter,Curling,
172322,M,21.0,176.0,67.0,Summer,Athletics,
172323,M,17.0,162.0,51.0,Summer,Table Tennis,
172324,M,21.0,162.0,51.0,Summer,Table Tennis,
172325,M,21.0,162.0,51.0,Summer,Table Tennis,2.0
172326,F,29.0,166.0,53.0,Summer,Triathlon,
172327,F,33.0,166.0,53.0,Summer,Triathlon,
172328,F,37.0,166.0,53.0,Summer,Triathlon,
172329,M,34.0,,,Summer,Shooting,
172330,M,34.0,,,Summer,Shooting,2.0
172331,M,34.0,,,Summer,Shooting,
172332,M,25.0,180.0,89.0,Summer,Baseball,1.0
172333,M,22.0,175.0,65.0,Summer,Athletics,
172334,M,22.0,175.0,65.0,Summer,Athletics,3.0
172335,F,28.0,157.0,54.0,Winter,Curling,1.0
172336,F,18.0,175.0,67.0,Summer,Athletics,
172337,M,22.0,,,Summer,Cycling,
172338,M,22.0,,,Summer,Cycling,
172339,M,,,,Summer,Wrestling,
172340,M,,,,Summer,Wrestling,
172341,F,22.0,149.0,48.0,Summer,Weightlifting,
172342,M,23.0,176.0,55.0,Summer,Wrestling,
172343,M,26.0,176.0,73.0,Summer,Shooting,2.0
172344,M,26.0,176.0,73.0,Summer,Shooting,
172345,M,23.0,180.0,81.0,Summer,Boxing,2.0
172346,M,27.0,180.0,81.0,Summer,Boxing,2.0
172347,M,23.0,172.0,63.0,Summer,Boxing,1.0
172348,M,20.0,180.0,71.0,Summer,Swimming,
172349,M,24.0,180.0,71.0,Summer,Swimming,
172350,M,22.0,176.0,60.0,Summer,Athletics,3.0
172351,M,26.0,176.0,60.0,Summer,Athletics,
172352,F,15.0,155.0,36.0,Summer,Athletics,
172353,F,19.0,155.0,36.0,Summer,Athletics,
172354,M,26.0,162.0,52.0,Summer,Athletics,
172355,F,19.0,166.0,60.0,Summer,Athletics,
172356,F,23.0,166.0,60.0,Summer,Athletics,2.0
172357,F,19.0,,,Summer,Athletics,
172358,M,25.0,165.0,68.0,Summer,Cycling,
172359,M,29.0,165.0,68.0,Summer,Cycling,
172360,M,19.0,181.0,73.0,Summer,Swimming,
172361,F,27.0,181.0,74.0,Summer,Volleyball,
172362,M,24.0,174.0,63.0,Summer,Athletics,2.0
172363,M,28.0,174.0,63.0,Summer,Athletics,1.0
172364,M,23.0,174.0,74.0,Winter,Short Track Speed Skating,
172365,M,23.0,174.0,74.0,Winter,Short Track Speed Skating,
172366,M,25.0,174.0,74.0,Winter,Short Track Speed Skating,
172367,M,25.0,174.0,74.0,Winter,Short Track Speed Skating,
172368,M,25.0,174.0,74.0,Winter,Short Track Speed Skating,1.0
172369,M,29.0,174.0,74.0,Winter,Short Track Speed Skating,
172370,M,30.0,171.0,53.0,Summer,Athletics,
172371,M,34.0,171.0,53.0,Summer,Athletics,
172372,M,25.0,177.0,77.0,Winter,Ice Hockey,
172373,M,29.0,177.0,77.0,Winter,Ice Hockey,
172374,M,33.0,177.0,77.0,Winter,Ice Hockey,
172375,M,23.0,191.0,91.0,Summer,Water Polo,
172376,M,23.0,186.0,73.0,Winter,Cross Country Skiing,
172377,M,20.0,165.0,67.0,Summer,Wrestling,
172378,M,24.0,165.0,67.0,Summer,Wrestling,
172379,M,28.0,165.0,67.0,Summer,Wrestling,
172380,M,32.0,165.0,67.0,Summer,Wrestling,
172381,M,32.0,170.0,,Summer,Wrestling,2.0
172382,M,36.0,170.0,,Summer,Wrestling,
172383,F,18.0,163.0,50.0,Summer,Athletics,
172384,F,22.0,163.0,50.0,Summer,Athletics,
172385,F,26.0,163.0,50.0,Summer,Athletics,
172386,M,18.0,176.0,70.0,Summer,Athletics,
172387,M,22.0,176.0,70.0,Summer,Athletics,
172388,M,27.0,168.0,56.0,Summer,Boxing,
172389,M,31.0,168.0,56.0,Summer,Boxing,
172390,F,23.0,179.0,,Winter,Speed Skating,
172391,F,23.0,179.0,,Winter,Speed Skating,
172392,F,23.0,179.0,,Winter,Speed Skating,
172393,F,23.0,179.0,,Winter,Speed Skating,
172394,F,17.0,168.0,60.0,Winter,Alpine Skiing,
172395,F,17.0,168.0,60.0,Winter,Alpine Skiing,
172396,F,21.0,168.0,60.0,Winter,Alpine Skiing,
172397,F,21.0,168.0,60.0,Winter,Alpine Skiing,
172398,F,21.0,168.0,60.0,Winter,Alpine Skiing,
172399,F,21.0,168.0,60.0,Winter,Alpine Skiing,
172400,F,21.0,168.0,60.0,Winter,Alpine Skiing,
172401,F,25.0,168.0,60.0,Winter,Alpine Skiing,
172402,F,25.0,168.0,60.0,Winter,Alpine Skiing,
172403,F,25.0,168.0,60.0,Winter,Alpine Skiing,
172404,F,31.0,168.0,60.0,Summer,Athletics,
172405,M,24.0,207.0,93.0,Summer,Athletics,
172406,M,22.0,,,Summer,Judo,
172407,M,22.0,175.0,71.0,Summer,Athletics,
172408,M,22.0,175.0,71.0,Summer,Athletics,
172409,F,17.0,163.0,57.0,Summer,Athletics,
172410,F,17.0,163.0,57.0,Summer,Athletics,
172411,F,26.0,154.0,46.0,Summer,Athletics,
172412,M,27.0,168.0,71.0,Summer,Boxing,
172413,M,26.0,190.0,96.0,Winter,Speed Skating,
172414,M,26.0,190.0,96.0,Winter,Speed Skating,
172415,M,30.0,190.0,96.0,Winter,Speed Skating,
172416,M,30.0,190.0,96.0,Winter,Speed Skating,
172417,M,34.0,190.0,96.0,Winter,Speed Skating,
172418,M,34.0,190.0,96.0,Winter,Speed Skating,
172419,F,27.0,166.0,54.0,Summer,Athletics,
172420,F,27.0,166.0,54.0,Summer,Athletics,
172421,F,31.0,166.0,54.0,Summer,Athletics,
172422,F,31.0,166.0,54.0,Summer,Athletics,
172423,M,20.0,169.0,57.0,Summer,Wrestling,
172424,M,18.0,181.0,79.0,Summer,Football,
172425,M,24.0,165.0,69.0,Summer,Athletics,
